no_planning,5115,12,3,19.30
planning,4435,12,0,24.10
no_planning,4435,12,2,21.70
planning,8874,12,0,23.20
no_planning,8874,12,0,18.00
planning,8058,12,0,25.90
no_planning,8058,12,4,21.80
planning,2043,12,0,34.10
no_planning,2043,12,19,26.80
planning,3472,13,0,25.90
no_planning,3472,13,0,27.80
planning,8753,13,0,22.20
no_planning,8753,13,1,20.70
planning,9814,13,0,28.60
no_planning,9814,13,27,22.90
planning,6458,13,3,20.40
no_planning,6458,13,7,20.80
planning,9513,13,2,24.60
no_planning,9513,13,16,20.60
planning,4029,13,0,29.40
no_planning,4029,13,0,23.70
planning,1175,13,1,32.30
no_planning,1175,13,4,28.70
planning,6666,13,8,28.70
no_planning,6666,13,2,23.20
planning,5828,13,4,26.40
no_planning,5828,13,8,24.40
planning,5302,13,0,22.80
no_planning,5302,13,2,21.10
planning,1351,13,0,23.20
no_planning,1351,13,1,20.00
planning,5447,13,0,29.60
no_planning,5447,13,4,23.80
planning,2323,13,0,21.50
no_planning,2323,13,0,18.30
planning,1483,13,2,30.00
no_planning,1483,13,4,24.00
planning,5119,13,4,21.90
no_planning,5119,13,2,20.90
planning,5088,13,0,22.60
no_planning,5088,13,7,18.60
planning,2944,14,0,26.90
no_planning,2944,14,2,24.40
planning,7143,14,2,26.00
no_planning,7143,14,11,23.90
planning,5991,14,2,27.70
no_planning,5991,14,10,30.50
planning,2880,14,2,23.90
no_planning,2880,14,7,22.00
planning,490,14,0,22.10
no_planning,490,14,0,20.10
planning,3426,14,2,24.30
no_planning,3426,14,0,20.50
planning,7994,14,0,27.50
no_planning,7994,14,5,23.10
planning,7270,14,2,28.60
no_planning,7270,14,4,22.70
planning,7952,14,0,27.00
no_planning,7952,14,2,21.60
planning,2938,14,0,22.10
no_planning,2938,14,6,20.90
planning,928,14,2,23.90
no_planning,928,14,7,20.40
planning,9735,14,0,26.20
no_planning,9735,14,2,21.30
planning,5591,14,0,25.30
no_planning,5591,14,3,21.60
planning,7486,14,0,32.70
no_planning,7486,14,4,26.50
planning,3905,14,2,27.80
no_planning,3905,14,0,22.30
planning,5364,14,0,27.00
no_planning,5364,14,3,26.50
planning,1587,15,4,23.20
no_planning,1587,15,1,20.00
planning,3677,15,1,30.60
no_planning,3677,15,19,25.00
planning,126,15,2,33.80
no_planning,126,15,4,27.00
planning,5903,15,3,33.80
no_planning,5903,15,8,27.00
planning,6006,15,2,27.20
no_planning,6006,15,7,22.30
planning,4582,15,2,32.20
no_planning,4582,15,2,24.80
planning,3299,15,3,27.40
no_planning,3299,15,6,22.20
planning,7085,15,0,25.20
no_planning,7085,15,2,22.50
planning,4853,15,7,25.80
no_planning,4853,15,6,21.50
planning,3615,15,4,26.70
no_planning,3615,15,13,22.70
planning,8461,15,22,25.60
no_planning,8461,15,4,21.20
planning,2403,15,2,34.10
no_planning,2403,15,27,26.80
planning,8209,15,0,21.50
no_planning,8209,15,5,20.50
planning,2659,15,2,28.10
no_planning,2659,15,0,22.50
planning,8206,15,0,33.30
no_planning,8206,15,6,27.10
planning,7612,15,3,19.10
no_planning,7612,15,0,36.90
